ID,SMILES,CAS
D0152,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,20830-75-5 
D0153,NCCc1ccn[nH]1,105-20-4 
D0154,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,144-44-5 
D0155,CS(=O)(=O)OCCCCOS(C)(=O)=O,55-98-1
D0156,C=CCC1([C@H](C)CC)C(=O)NC(=O)NC1=O,115-44-6 
D0157,CCN(CC)CCOC(=O)c1ccc(N)cc1Cl,133-16-4 
D0158,CC(=O)O[C@H]1C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)O[C@H](C)[C@H]1O,1111-39-3
D0159,CC[N+](CC)(CC)CC[C@](O)(c1ccccc1)C1CCCCC1,4310-35-4
D0160,C[C@H](N)[C@H](O)c1cccc(O)c1,54-49-9
D0161,CC[C@]1(c2ccccc2)CCC(=O)NC1=O,77-21-4
D0162,CCN(CCO)CCC[C@@H](C)Nc1ccnc2cc(Cl)ccc12,118-42-3 
D0163,CCC1(CC)C(=O)NC[C@@H](C)C1=O,125-64-4 
D0164,CCCC(C)(COC(N)=O)COC(N)=O,57-53-4
D0165,C#CC1(OC(N)=O)CCCCC1,126-52-3 
D0166,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,53-03-2
D0167,CCN(CCO)CCC[C@H](C)Nc1ccnc2cc(Cl)ccc12,118-42-3 
D0168,O[C@](CCN1CCCC1)(c1ccccc1)C1CCCCC1,77-37-2
D0169,CN(C)C(=O)Oc1ccc[n+](C)c1,155-97-5 
D0170,CCCCOc1ccc(C(=O)CCN2CCCCC2)cc1,586-60-7 
D0171,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,50-24-8
D0172,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,52-21-1
D0173,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C,83-88-5
D0174,C#C[C@](O)(/C=C/Cl)CC,113-18-8 
D0175,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,514-36-3 
D0176,COc1ccc(OC)c([C@@H](O)CN)c1,3600-87-1
D0177,C[C@@H](N)Cc1ccc(O)cc1,103-86-6 
D0178,CC1=C(C/C=C(\C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C(=O)c2ccccc2C1=O,84-80-0
D0179,CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)Cc1ccccc1Cl)Cc1ccccc1Cl,7648-98-8
D0180,COC(=O)[C@@H](c1ccccc1)[C@@H]1CCCCN1,1037510-61-4 
D0181,CN[C@@]1(C)[C@H]2CC[C@H](C2)C1(C)C,60-40-2
D0182,CCCCCC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,630-56-8 
D0183,CN(C)CCCN1c2ccccc2Sc2ccccc21,58-40-2
D0184,C[N@+]12CC[C@H](CC1)[C@@H](OC(=O)C(O)(c1ccccc1)c1ccccc1)C2,3485-62-9
D0185,N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)[O-],6893-02-3
D0186,OCCOCCN1CCN([C@@H](c2ccccc2)c2ccc(Cl)cc2)CC1,68-88-2
D0187,CN1C(=O)C[C@@](C)(c2ccccc2)C1=O,39122-23-1 
D0188,C=CCN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13,152-02-3 
D0189,C[C@H]1NCCO[C@@H]1c1ccccc1,134-49-6 
D0190,CCOC(=O)C1(c2ccccc2)CCN(CCc2ccc(N)cc2)CC1,144-14-9 
D0191,CCN(CC)CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,76-47-1
D0192,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,58-38-8
D0193,Cc1ccccc1[C@H](OCCN(C)C)c1ccccc1,83-98-7
D0194,CN1C(=O)C[C@](C)(c2ccccc2)C1=O,39122-22-0 
D0195,C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,76-43-7
D0196,Cc1ccccc1[C@@H](OCCN(C)C)c1ccccc1,83-98-7
D0197,Cc1cccc(CN2CCN([C@H](c3ccccc3)c3ccc(Cl)cc3)CC2)c1,569-65-3 
D0198,CC(C)OP(=O)(F)OC(C)C,55-91-4
D0199,O=C([O-])CCCc1ccc(N(CCCl)CCCl)cc1,305-03-3 
D0200,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,64-77-7
D0201,C[N+]1(C)CCC[C@@H](OC(=O)C(O)(c2ccccc2)c2ccccc2)C1,25990-43-6 
